hecho_sancionado,instrumento_legal_inflingido,losma_35,gravedad_falta,inversion,tipologia,vias_de_ingreso,tamaño_unidad
"""""""24.3 No presenta el plan de contingencia ordenado en el numeral 3 del púnto I del Resuelvo Primero de la Res 107. En efecto, los antecedentes entregados por Compañía Minera Nevada SpA, bajo el titulo de plan de contingencia, proponían una modificación de las condiciones establecidas en la RCA, no correspondiendo a esta Superintendencia pronunciarse sobre éstas. Asimismo, dichas obras no implicaban un reforzamiento inmediato a la Obra de Salida del Canal Perimetral Norte inferior , y su extensión hasta la Piscina de Sedimentación Norte. """"""",,l,Graves,500.0,I,EIA,350.0
"La obtención, con fecha 13 de enero de 2015, de un nivel de presión sonora corregido de 67 dBA, en horario diurno, medido desde un receptor ubicado en zona III.",NE,h,Leves,,,,
"La obtención de un nivel de presión sonora corregido de 66 dBA y 54 dBA, con fecha 13 de febrero y 30 de julio de 2016, respectivamente; ambos en horario nocturno y medido desde receptores ubicados en zona III.",NE,h,Leves,,,,
"El titular no reportó con la frecuencia mensual mínima de monitoreo exigida en su programa de monitoreo, para los parámetros pH y temperatura, en los períodos de febrero y entre abril y diciembre de 2017; y en enero, febrero, y mayo de 2018.",NE,h,Leves,1.5,O,DIA,1.0499999999999998
"Deficiencias en el sistema de ensilaje y almacenamiento de mortalidad desnaturalizada autorizado: 1)	Disponer de un sistema de almacenamiento de mortalidad desnaturalizada de 0,5m3, inferior a lo autorizado mediante RCA N°090/2013. 2)	No disponer de plataforma o estructura fija para la realización del ensilaje y el almacenamiento de la mortalidad desnaturalizada en el centro de cultivo.",RCA,a,Leves,0.8,N,DIA,0.5599999999999999
"La obtención, con fechas 13, 14 y 16 de febrero de 2017, de un Nivel de Presión Sonora Corregido (NPC) de 71, 70, 66, 68, 67, 70, 70, 67 y 71 dB(A), respectivamente, en horario diurno, todos medidos en receptores sensibles ubicados en Zona III.",NE,h,Leves,,,,
"Las luminarias que forman parte del sistema de alumbrado ambiental de Jumbo Copiapó, no cuentan con certificación de cumplimiento de los límites de emisión.",NE,h,Leves,,,,
El titular no cuenta con un registro que permita verificar la aplicación de carga orgánica en el suelo.,RCA,a,Graves,0.075,O,DIA,0.0525
A4. No evitar la dispersión del alimento de cerdo en el sector de almacenamiento y en el sector exterior de los pabellones.,RCA,a,Graves,11.2,L,DIA,7.839999999999999
"Incumplimiento del compromiso de entrega de agua desalada en el canal Mal Paso, en un caudal de 100 l/s, en diversos periodos comprendidos entre marzo de 2015 y julio de 2018, según lo indicado en la Tabla N° 17, de la presente formulación de cargos.",RCA,a,Leves,1700.0,I,EIA,1190.0
No certificar la realización de la capacitación relativa a “Procedimientos para el manejo de contingencias” durante el año 2020.,RCA,a,Leves,0.15,O,DIA,0.105
"Utilización, con fecha 05 de septiembre de 2018, de un artefacto unitario a leña en un establecimiento comercial ubicado en la zona saturada afecta al PPDA de Osorno",PPDA,c,Leves,,,,
"La obtención, con fecha 6 de enero de 2023, de un Nivel de Presión Sonora Corregido (NPC) de 57 dB(A); y, la obtención, con fecha 3 de marzo de 2023, de un Nivel de Presión Sonora Corregido (NPC) de 56 dB(A), todas las mediciones efectuadas en horario nocturno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"La obtención, con fecha 17 de febrero de 2018, de un Nivel de Presión Sonora Corregidos (NPC) de 63 dB(A) respectivamente, todas las mediciones efectuadas en horario nocturno, en condición interna, con ventana cerrada, en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"La empresa no acredita que el destinatario Exportadora PB Eliecer Muñoz Díaz E.I.R.L., al que envió 25.530 kg de Pasta de Plomo, cumpla con la legislación ambiental vigente.",RCA,a,Leves,5.5,O,DIA,3.8499999999999996
La Planta de tratamiento de Residuos Industriales líquidos de Operaciones Costeras S.A. no cuenta con autorización sanitaria.,RCA,a,Leves,0.314,O,DIA,0.2198
"SUPERAR LOS LÍMITES MÁXIMOS PERMITIDOS PARA LOS PARÁMETROS DE SU PROGRAMA DE MONITOREO: El establecimiento industrial presentó superación del límite máximo permitido por la Tabla N° 3 del artículo 1 numeral 4.2 del D.S. N° 90/2000, para el parámetro Nitrógeno Total en el mes de junio de 2020, de acuerdo a la Tabla N° 1.2 del Anexo N°1 de esta Resolución, no configurándose los supuestos señalados en el numeral 6.4.2 del artículo 1 del D.S. N° 90/2000.",NE,g,Leves,,,,
"La obtención, con fecha 10 de junio de 2016, de un Nivel de Presión Sonora Corregido (NPC) de 54 dB(A), en horario nocturno, en condición externa, medido en un receptor sensible, ubicado en Zona III.",NE,h,Leves,,,,
Falta de ejecución de programa de monitoreo mensual para el cumplimiento de la norma NCh 1.333/78 para calidad de agua para riego.,RCA,a,Leves,1.6,H,DIA,1.1199999999999999
"El total de cactáceas relocalizadas fue en una cantidad inferior a la comprometida en el proyecto, según se indica en la Tabla 2 de la presente resolución.",RCA,a,Graves,1.7,I,DIA,1.19
"No tener implementado a la fecha, un sistema de control dinámico de emisiones de material particulado sedimentable.",RCA,a,Graves,10.0,I,EIA,7.0
"Falta de adopción de medidas destinadas a asegurar la ausencia de Pirita (FeS2) en botaderos de estériles del Rajo Huinquintipa, manifestado en la no inclusión del parámetro pirita en los muestreos químicos y test ABA realizados al material depositado",RCA,a,Graves,7.5,I,DIA,5.25
"La obtención, con fecha 2 de septiembre de 2021, de un Nivel de Presión Sonora Corregido (NPC) de 81 dB(A), en condición externa; la obtención, con fecha 20 de diciembre de 2021 de NPC de 68 dB(A) y 74 dB(A), ambas en condición interna con ventana abierta; y, la obtención, con fecha 21 de diciembre de un NPC de 77 dB(A), en condición interna con ventana abierta; todas las mediciones realizadas en horario diurno y en un receptor sensible ubicado en Zona III.",NE,h,Leves,,,,
"No cumplir a cabalidad con el requerimiento de información realizado por esta Superintendencia en el Acta de Inspección Ambiental de fecha 13 de mayo de 2014, respecto de: 1. Informes semestrales de RILes entregados a Autoridad Marítima. 2. Autocontroles relativos a los meses de octubre, noviembre y diciembre de 2014. 3. Certificados de Laboratorio. 4. Autorización sanitaria empresa Salitrera IRMA Ltda. 5. Registro de traslado y disposición final de los lodos generados en la planta de tratamiento.",Requerimientos de Información,i,Leves,42.0,K,DIA,29.4
"La obtención, con fecha 2 de marzo de 2017, de Nivel de Presión Sonora Corregido (NPC) de 65 dB(A) en Receptor N° R1, 65 dB(A) en Receptor N° R2, y 64 dB(A) en Receptor N° R3; todos los Receptores Sensibles medidos en horario nocturno, en condición externa, encontrándose ubicados en Zona II.",NE,h,Leves,,,,
"La obtención, con fecha 09 de noviembre de 2018, de Nivel de Presión Sonora Corregido (NPC) de 55 y 53 dB(A), en horario nocturno, en condición interna con ventana cerrada; desde dos receptores sensibles, ubicados en Zona II.",NE,h,Leves,,,,
"Omitir construir obra disipadora de energía a la salida de canal de contorno del botadero de estéril Nv 620, ampliado.",RCA,a,Leves,0.02,I,DIA,0.013999999999999999
"“Producción, reutilización, almacenamiento, tratamiento, y eliminación final de sustancias tóxicas y/o residuos peligrosos provenientes de baterías de plomo en desuso, sin contar con Resolución de Calificación Ambiental que lo habilite a ello y generando efectos adversos a la salud de la población y a uno o más componentes ambientales ”.",Elusión,b,Graves,,,,
"A1. Superación de los niveles de ruido en los receptores sensibles, sobrepasando los límites establecidos en el Decreto Supremo W 146, de 1997, del Ministerio Secretaría General de la Presidencia, en los meses de febrero, marzo y abri",RCA,a,Leves,8.0,C,DIA,5.6
"No reforestación de una superficie de 15,24 has, con especies de espino, quillay y litre, en una cantidad de 1:5 respecto de la situación original.",RCA,a,Graves,,,,
"Se ha realizado la extracción de ripios desde la fase V, los que han sido transportados en camiones y depositados en la fase VI.",RCA,a,Leves,0.0,I,DIA,0.0
"Entregar sólo una vez al año el análisis de abundancia y concentración de cobre en el organismo intermareal Emerita análoga, durante los años 2013 y 2014.",RCA,a,Leves,1.5,K,DIA,1.0499999999999998
"No entrega de información solicitada en la actividad de fiscalización de agosto de 2015, específicamente: -	Superficie de las siguientes obras: -	Pozo de empréstito N° 5. -	Pozo de empréstito N° 8. -	Planta de materiales. -	Instalación de faenas. - Volumen de extracción de tierra del Pozo de empréstito N° 5. -	Inicio y término del periodo de explotación de obras del proyecto.",Requerimientos de Información,j,Graves,17.1111,P,DIA,11.97777
"El establecimiento industrial no informó el autocontrol correspondiente a los meses de julio a diciembre de 2014, los meses de Enero, Febrero, Marzo, Junio, y Agosto de 2015 y de Febrero, Marzo, Abril, Mayo, Agosto, Septiembre, Noviembre de 2016.",NE,a,Leves,0.04,O,DIA,0.027999999999999997
"C.1 Se mantienen envases vacíos con residuos de aceites, los cuales estaban situados fuera de la bodega de residuos peligrosos, sin identificación de riesgo y con acceso libre (sin protección) a cualquier trabajador.",RCA,a,Leves,0.0,N,DIA,0.0
"La obtención, con fecha 24 de junio de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 57 dB(A), medición efectuada en horario nocturno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"El establecimiento industrial presentó superación del límite máximo permitido por la Tabla N° 1 del artículo 1 numeral 4.2. D.S. N° 90/2000, respecto de los parámetros DBO5 y Sólidos Suspendidos Totales, en el mes de julio del año 2020, según se detalla en la Tabla N° 1.3 del Anexo 1 de esta Resolución; no configurándose los supuestos señalados en el numeral 6.4.2 del D.S. N° 90/2000.",NE,g,Leves,,,,
"Incumplimiento del Resuelvo Segundo, Numerales 1 y 2, de la Resolución Exenta N° 108/2016, que Ordena medidas provisionales a Sierra Gorda SCM. -	No se depositó el relave cumpliendo con el estándar de mayor eficiencia de concentración de porcentaje de sólidos depositado a la fecha. -	No se opera el sistema de recuperación de aguas del tranque a una tasa de al menos 1.326.429 m3/mes o 42.788 m3/día.",,l,Graves,1900.0,I,EIA,1330.0
Contar con residuos peligrosos fuera de bodega de almacenamiento y sin cumplir con los requisitos de rotulación de la NCh 2.190 Of. 93.,RCA,a,Graves,42.0,K,DIA,29.4
"NO REPORTAR LA FRECUENCIA DE MONITOREO EXIGIDA EN SU PROGRAMA DE MONITOREO: El establecimiento industrial no reportó la frecuencia de monitoreo exigida en su Programa de Monitore (Res. Ex. SISS N° 4497, de fecha 12 de octubre del año 2012), correspondiente a su Programa de Monitoreo mensual asociado al D.S. N° 90/2000, en los meses de abril a diciembre de 2018; enero a diciembre de 2019; y, enero, febrero, marzo, abril, mayo, junio, agosto, septiembre, octubre, noviembre y diciembre de 2020.",NE,g,Leves,,,,
"La obtención, con fecha 14 de enero del 2019, de Niveles de Presión Sonora Corregidos (NPC) de 49 dB(A) y 52 dB(A), todas las mediciones efectuadas en horario nocturno, en condición externa, en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"Ejecución de modificación al proyecto de elaboración y envasado de frutos, pulpa de frutas, verduras y hortalizas de Conservera Pentzke S.A., consistente en el aumento de la producción de toneladas de residuos sólidos, sin contar con una RCA que lo autorice, en el período comprendido, al menos, entre el año 2007 a la fecha.",Elusión,b,Graves,,,,
B2. No haber instalado en la piscina de Acumulación N°1 de Agua Verde el sistema dispensador de sustancias odorizantes o aromatizantes requerido para el control de olores,RCA,a,Graves,15.0,L,DIA,10.5
La no implementación de los canales de contorno perimetrales aguas arriba de la cantera de la mina y en la cabecera del botadero de estériles.,RCA,a,Graves,0.0,I,DIA,0.0
"Reportes de aguas subterráneas incompletos. Específicamente, de los tres reportes analizados, en dos se incluyen dos muestras, debiendo ser tres; en los informes no se especifican los pozos de muestreo, y además, los reportes tienen una periodicidad semestral, debiendo ser mensual.",RCA,a,Leves,1.3,O,DIA,0.9099999999999999
"Ejecución insatisfactoria del plan de manejo y rescate de la avifauna del área de emplazamiento del Parque Eólico Raki, según lo detallado en la tabla N°3 de esta Resolución.",RCA,a,Leves,24.0,C,DIA,16.799999999999997
"La cinta transportadora del Muelle N° 3 granelero, no está recubierta con un cobertor plástico resistente de policarbonato o metálico a lo largo de toda su extensión, presentando tramos sin cobertura, generando emisiones fugitivas de carbón a la losa de la cinta transportadora.",RCA,a,Graves,2.3,M,DIA,1.6099999999999999
"Obtención, con fecha 5 de junio de 2016, de Nivel de Presión Sonora Corregido (NPC) de 67 dB(A), en horario diurno, en condición interna, con ventana abierta, medido desde receptor sensible ubicado en Zona II",NE,h,Leves,,,,
"La obtención, con fecha 05 de marzo de 2020, de Niveles de Presión Sonora Corregidos (NPC) de 55 y 56 dB(A), respectivamente, todas las mediciones efectuadas en horario nocturno, en condición externa y en receptores sensibles ubicados en Zona III.",NE,h,Leves,,,,
"La obtención, con fecha 09 de abril de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 60 dB(A), medición efectuada en horario nocturno, en condición interna, con ventana cerrada y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
No reportar los monitoreos de autocontrol de su programa de monitoreo,NE,g,Leves,,,,
"El establecimiento emisor no entregó los informes de seguimiento ambiental establecidos en el Considerando 6 letras d) y e) de la RCA N° 124/2007, en el mes de febrero 2013.",RCA,a,Leves,1.5,N,DIA,1.0499999999999998
No haber solicitado su calificación como Fuente Emisora y su respectiva RPM,RCA,a,Leves,0.012,P,DIA,0.0084
"La obtención, con fecha 5 de mayo de 2018, de niveles de presión sonora corregidos de 58 dB(A), 59 db(A), 59 dB(A), 60 dB(A), 62 dB(A), respectivamente, mediciones efectuadas en el Receptor Sensible N° 1, todas en condición externa y horario nocturno; en Zona Rural.",NE,h,Leves,,,,
"Activación de procesos erosivos observados en camino de acceso a torre N°300, y en laderas intervenidas respecto de las torres N°300 y N°301, situación que no ha sido objeto de monitoreo ni seguimiento según lo comprometido.",RCA,a,Graves,6.0,B,DIA,4.199999999999999
"No haber realizado la medición de sus emisiones de MP, mediante una medición anual discreta para su horno tipo chileno que utiliza leña como combustible.",PPDA,c,Leves,,,,
"La obtención, con fecha 28 de abril de 2021, de un Nivel de Presión Sonora Corregido (NPC) de 73 dB(A), en medición efectuada en horario diurno, en condición interna con ventana abierta, en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"El informe de emisiones presentado, no ha sido cargado en la plataforma del Sistema de Seguimiento Ambiental de la SMA, según lo establece la Resolución SMA N°844/2013",RSMA,e,Leves,8.0,Ñ,DIA,5.6
"Descarga no autorizada de RILes a cauce de agua superficial, lo que se manifiesta específicamente en: a)	Descarga desde el canal matriz del sistema de recolección de RILes hacia cauce superficial ubicado al interior del predio. b)	Descarga de RILes por su rebalse y escurrimiento desde la segunda piscina de acumulación, hacia un cauce superficial ubicado al norte del predio",RCA,a,Graves,0.045,O,DIA,0.0315
No envío de antecedentes del titular y de la resolución de calificación ambiental requeridos por la SMA mediante instrucción general.,RCA,e,Leves,5.0,H,DIA,3.5
"Durante los meses de enero, marzo, abril y mayo del año 2014, Forestal y Papelera Concepción S.A. no cumple con la metodología de muestra compuesta, establecida en el considerando 6.3.2. del D.S. N° 90/2000.",RCA,a,Leves,0.2,O,DIA,0.13999999999999999
G1. Haber construido la linea de transmisión eléctrica según un trazado distinto al autorizado.,RCA,a,Graves,1700.0,I,EIA,1190.0
"Haber efectuado de manera incompleta el análisis de los indicadores del programa de fomento agropecuario para con los GHPPI de Chiclla y la Comunidad Indígena Quechua de Huatacondo, no incorporando la totalidad de las actividades comprometidas y los reportes establecidos para verificar su cumplimiento.",RCA,a,Graves,0.14,I,DIA,0.098
"La obtención, con fecha 21 de julio de 2023, de Niveles de Presión Sonora Corregidos (NPC) de 58 dB(A), 63 dB(A) y 57 dB(A); y la obtención con fecha 22 de julio de 2023, de NPC de 64 dB(A) y 66 dB(A), todas las mediciones efectuadas en horario nocturno, la primera y última en condición externa y las demás en condición interna con ventana cerrada, en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"La obtención, con fecha 27 de mayo de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 81 dB(A), medición efectuada en horario nocturno, en condición externa, en receptor sensible ubicado en zona II.",NE,h,Graves,,,,
Titular no mantiene actualizada la información requerida a través de la plataforma Sistema de Resoluciones de Calificación Ambiental.,RSMA,e,Leves,25.0,H,EIA,17.5
"La construcción y operación de un sistema de tratamiento de RILES que consiste en dos lagunas de acumulación y una planta de tratamiento de purines, cuyo efluente es utilizado para riego de frutales.",Elusión,b,Graves,,,,
"la obtención, con fecha 17 de enero de 2015, de un Nivel de Presión Sonora Corregido de 76 dB(A), en horario nocturno, medido en un receptor ubicado en Zona II.",NE,h,Leves,,,,
"No haber obtenido el otorgamiento del Permiso Ambiental Sectorial (“PAS”) del artículo 90 del D.S. N° 95/2001 (actual PAS mixto descrito en el artículo 139 del D.S. N° 40/2012), requerido para la modificación de la disposiciones de los riles vinculados al proceso productivo de la compañía, aprobado por la RCA N° 149/2014.",RCA,a,Leves,0.04,O,DIA,0.027999999999999997
"La obtención, con fechas 25 y 26 de abril de 2022, de Niveles de Presión Sonora Corregidos (NPC) de 72 dB(A) y 67 dB(A), respectivamente, ambas mediciones efectuadas en horario diurno, en condición externa y en un receptor sensible ubicado en Zona III.",NE,h,Leves,,,,
"Durante actividad de inspección de 9 de julio de 2015, se constató que el buque utilizado en la faena de embarque de concentrado de cobre procedente del galpón RAEC, estaba siendo embarcado en el sitio 5 del Puerto de Antofagasta",RCA,a,Leves,,,,
"NO REPORTAR TODOS LOS PARÁMETROS DE SU PROGRAMA DE MONITOREO: El establecimiento industrial no reportó en los reportes de autocontrol de su Programa de Monitoreo (Res. Ex. SISS N°1101/2011) en los meses de noviembre de 2019; enero, febrero, marzo, abril, mayo, junio, julio, agosto y septiembre de 2020 y; enero, marzo, abril, septiembre y octubre de 2021, los parámetros indicados en la Tabla N° 1.2 del Anexo N°1 de la presente resolución, consignándose, además, que en el mes de diciembre de 2019 y en el mes de diciembre de 2020, no se monitorearon los parámetros correspondientes al control normativo anual de la Tabla 3 del DS.90/2000, de acuerdo al numeral 3.6 de la resolución que establece su Programa de Monitoreo, según se detalla en la Tabla N° 1.2 del Anexo N°1 de la presente resolución.",NE,g,Leves,,,,
"La obtención, con fecha 28 de junio de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 71 dB(A) en una medición efectuada en horario diurno, en condición externa y en un receptor sensible ubicado en Zona Rural",NE,h,Leves,,,,
No reportar al Sistema de Seguimiento Ambiental el monitoreo del cuerpo receptor aguas arriba y aguas abajo del punto de descarga.,RSMA,e,Leves,0.076,O,DIA,0.0532
"Superar la producción máxima autorizada en el CES MINA ELENA, durante el ciclo productivo ocurrido entre el 06 de agosto de 2018 al 31 de mayo de 2020.",RCA,a,Graves,2.755,N,DIA,1.9284999999999999
"No entregar información en los términos prescritos en la Res. Ex. N° 319 de 19 de abril de 2015 de la Superintendencia del Medio Ambiente, al no incluir los informes del Laboratorio que realizó las mediciones.",Requerimientos de Información,j,Leves,1.5,K,DIA,1.0499999999999998
"Descarga de relaves espesados al río San Antonio, producto de la fisura del ducto de transporte.",RCA,a,Graves,0.02,O,DIA,0.013999999999999999
"No haber realizado la medición de sus emisiones de MP, mediante un muestreo isocinético para la caldera marca Buderus, año de fabricación 2005, modelo GE 515/2955, con una potencia de 253.700Kcal/h y con número de registro 361, que utiliza petróleo diésel como combustible, para el periodo comprendido entre los años 2013 a 2018.",PPDA,c,Leves,,,,
"La obtención, con fecha 4 de enero de 2024, de un Nivel de Presión Sonora Corregido (NPC) de 72 dB(A), medición efectuada en horario diurno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
No existen áreas verdes en el entorno o perímetro de la planta de congelados que tengan el fin de mitigar el impacto visual hacia el exterior del establecimiento.,RCA,a,Graves,0.314,O,DIA,0.2198
Ingreso al acopio de materia prima (conchas y conchillas) con restos orgánicos.,RCA,a,Graves,0.7,K,DIA,0.48999999999999994
"Falta de monitoreo de comunidad de macrófitas en el sector de puquíos, en período de junio 2013 a diciembre de 2015.",RCA,a,Leves,1033.0,I,EIA,723.0999999999999
"Inadecuado manejo de residuos generados por el Hotel y la embarcación Grey II –según lo constatado en la inspección ambiental de 11 y 12 de noviembre de 2015–, lo que se manifiesta en los siguientes hechos: 1.1. Los residuos sólidos industriales no peligrosos son acopiados en un recinto habilitado exclusivamente para el almacenamiento de los residuos sólidos domiciliarios. 1.2. Los residuos sólidos domiciliarios son depositados en contenedores plásticos, ubicados al aire libre y no en el área destinada al efecto, generando escurrimiento de líquidos percolados hacia el suelo. 1.3. El recinto utilizado para el almacenamiento temporal de residuos peligrosos generados en Hotel o embarcación, carece de requisitos de señalización, protección y etiquetado, conforme lo dispuesto en el D.S. N°148/2003 del Ministerio de Salud y la NCh2190.Of93. 1.4. No se ha efectuado un adecuado retiro y manejo de lodos biológicos, disponiéndose de éstos en el recinto destinado a almacenar residuos líquidos peligrosos, en lugar de retirarlos mediante camiones limpia fosa y disponerlos en vertedero autorizado. 1.5. La embarcación Grey II no contaba con una bitácora para el adecuado registro y control del retiro, traslado y disposición final de las aguas de sentina generadas en dicha embarcación. 1.5 Las cenizas generadas por la caldera de biomasa –empleada para calefaccionar el hotel–, no están siendo utilizadas como abono natural en las plantaciones de la empresa Monte Alto Forestal S.A., ni se acredita su disposición en algún vertedero.",RCA,a,Leves,3.0,P,DIA,2.0999999999999996
"La obtención, con fecha 9 de enero de 2020, de un Nivel de Presión Sonora Corregido] (NPC) de 55 dB(A), medición efectuada en horario nocturno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"No cubrir con Aglosil 21, la cubeta y taludes, con el objeto de impermeabilizar y minimizar las emisiones de material particulado.",RCA,a,Leves,0.1131,I,DIA,0.07917
No reportar todos los parámetros de su programa de monitoreo.,NE,g,Leves,,,,
"SUPERAR EL LIMITE MÁXIMO PERMITIDO DE VOLUMEN DE DESCARGA EN SU PROGRAMA DE MONITOREO: El establecimiento industrial excedió el límite de volumen de descarga exigido en su Programa de Monitoreo (Res. Ex. SISS N° 2877 de fecha 24 de agosto de 2006) en los períodos que a continuación se indican y que se detallan en la Tabla N° 3 del Anexo de la presente Resolución: a)2017: diciembre. b)2018: enero, febrero, marzo, abril, mayo, junio, julio, agosto, septiembre, octubre, noviembre y diciembre. c)2019: enero, febrero, marzo, abril, mayo, junio, julio, agosto, septiembre, octubre, noviembre, diciembre. d)2020: enero, febrero, marzo, abril, mayo.",NE,g,Leves,,,,
"Realización de monitoreos de descarga de RILes en un lugar de toma de muestra que se ve afectado por el cuerpo receptor, producto del ingreso de agua por altas mareas.",RCA,a,Leves,30.0,N,DIA,21.0
"Deficiente manejo de residuos sólidos: (i) No realiza registros permanentes que acredite la disposición final en lugar autorizado,; y (ii) Disposición en sitio no autorizado.",RCA,a,Graves,247.9294,H,DIA,173.55057999999997
"La obtención, con fecha 24 de abril de 2019, de un Nivel de Presión Sonora Corregidos (NPC) de 56 dB(A), medición efectuada en horario nocturno, en condición interna, con ventana abierta, en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"Escurrimiento, fuera del punto de descarga autorizado, de residuos líquidos sin haber sido previamente tratados, según lo constatado en inspección de fecha 25 de febrero de 2016.",RCA,a,Leves,4.85,O,DIA,3.3949999999999996
"El establecimiento industrial presentó superación en los niveles máximos permitidos de ciertos contaminantes establecidos en la norma de emisión antes citada, en el período controlado durante los meses de noviembre y diciembre de 2014; enero a mayo de 2015; enero, febrero y abril de 2016, tal como se presenta en la Tabla N° 5 de esta resolución, no se dan los supuestos señalados en el numeral 6.4.2. del DS 90/2000.",RCA,a,Leves,0.9,O,DIA,0.63
"A.3. Al momento de la inspección se constató que el sistema de desulfurización de la Unidad 1 no estaba operativo. A mayor abundamiento, se constató que al momento de la inspección dicho sistema se encontraba en construcción.",RCA,a,Graves,460.0,C,EIA,322.0
"NO REPORTAR LOS REMUESTREOS SEGÚN LO ESTABLECIDO EN SU PROGRAMA DE MONITOREO Y/O LA NORMA DE EMISIÓN: El establecimiento industrial no reportó información asociada a los remuestreos de los siguientes parámetros y períodos que a continuación se indican, y que se detallan en la Tabla N° 1.4 del Anexo N°1 la presente Resolución: -DBO5 en febrero, marzo, mayo, septiembre y diciembre de 2021 y; abril de 2022. -Sólidos Suspendidos Totales en septiembre de 2021. -Selenio en marzo de 2022.",NE,g,Leves,,,,
"Uso de piscinas de emergencia TK-10 y TK-11 del sistema de drenaje de líneas y colección de derrames del “Proyecto Integral de Desarrollo” (Sistema de Transporte de Relaves y Sistema de Recirculación de Aguas), para una finalidad distinta a la declarada, almacenándose un total de 6.056 m3 de aguas de proceso a partir del 21 de octubre de 2021, en el marco de la construcción del proyecto “Infraestructura Complementaria”.",RCA,a,Graves,750.0,I,EIA,525.0
"Operar el proyecto minero Tierra del Fuego, División el Dorado, superando la vida útil establecida en la RCA N° 019/2010.",RCA,a,Leves,3.0,I,DIA,2.0999999999999996
"La obtención, con fecha 16 de febrero de 2024, de un Nivel de Presión Sonora Corregido (NPC) de 57 dB(A), medición efectuada en horario nocturno, en condición externa, y en un receptor sensible ubicado en Zona I.",NE,h,Leves,,,,
"La obtención, con fecha 7 de julio de 2021 de un Nivel de Presión Sonora Corregido (NPC) de 64 dB(A); la obtención, con fecha 8 de julio de 2021, de un NPC de 64 dB(A); y, la obtención, con fecha 9 de julio de 2021, de unos NPC de 61 dB(A) y 61 dB(A), todas las mediciones efectuadas en horario diurno, en condición interna, con ventana abierta la primera y en condición externa las siguientes y en receptores sensibles ubicados en Zona II.",NE,h,Leves,,,,
La Medida de Perturbación Controlada no fue realizada en los sectores de emplazamiento de las siguientes estructuras: a)	Torre 25N (tramo LAAM) b)	Torre 44 (tramo AMRA) c)	Torre 45 (tramo AMRA),RCA,a,Graves,77.0,B,EIA,53.9
No presentar información para el periodo de control de los meses entre marzo de 2013 y septiembre de 2015,RCA,a,Leves,0.79,O,DIA,0.5529999999999999
"Las piscinas de fluidos geotérmicos de las plataformas CP-10 y CP-5 / CP-5A tienen una capacidad de 14.000 m3, lo que excede en 5.000 m3 la capacidad autorizada.",RCA,a,Leves,180.0,C,EIA,125.99999999999999
"Haber efectuado una inadecuada mantención de las zanjas colectoras de solución y de la piscina de emergencia de Óxidos de baja ley, y los canales de drenaje de aguas de contacto situadas en el Botadero Sur de Ripios de Lixiviación, entre los años 2016 y 2017.",RCA,a,Leves,0.14,I,DIA,0.098
"La obtención, con fecha 31 de agosto de 2021, de un Nivel de Presión Sonora Corregido (NPC) de 63 dB(A), medición efectuada en horario nocturno, en condición interna con ventana abierta y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
"El establecimiento industrial superación en los niveles máximos permitidos de ciertos contaminantes y/o parámetros establecidos en la norma de emisión antes citada, durante el período controlado durante el mes de Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Noviembre y Diciembre del año 2013 y Enero, Febrero, Marzo y Mayo del año 2014.",NE,g,Leves,,,,
"Falta de medición de CO, NO2, SO2 y MP de conformidad con lo señalado en el considerando 5º letra b) de esta formulación de cargos en la Unidad de Generación Nehuenco III.",RCA,a,Leves,220.0,C,EIA,154.0
"La obtención, con fecha 13 de mayo de 2022, de un Nivel de Presión Sonora Corregido (NPC) de 78 dB(A), medición efectuada en horario diurno, en condición externa y en un receptor sensible ubicado en Zona II.",NE,h,Leves,,,,
Falta de obtención del PAS 90.,RCA,a,Leves,3.5,L,DIA,2.4499999999999997
"El titular ha ejecutado la corta de especies nativas e intervenciones prediales adicionales no autorizadas al interior de un Área de Preservación Ecológica de acuerdo al PRMS, lo que se expresa en: 1.1.	Corta de especies nativas arbustivas, sin contar previamente con autorización sectorial, de acuerdo a lo requerido en el PAS 153. 1.2.	Modificación del área de instalación de faena y ensanchamiento y apertura de una nueva huella de acceso. 1.3.	Modificación del área de construcción de los estacionamientos. 1.4.	Intervención adicional superficial por construcción de la nueva biblioteca.",RCA,a,Graves,15.0,H,DIA,10.5
